distance P2222O2O2NTf2_custom P2222O2O2TCB_custom P2228NTf2_custom P2228TCB_custom P2O231NTf2_custom_CLPOL P2O231NTf2_custom P2O231NTf2_LINEAR_custom_CLPOL P2O231NTf2_LINEAR_custom P2O231TCB_custom_CLPOL P2O231TCB_custom P2O231TCB_LINEAR_custom_CLPOL P2O231TCB_LINEAR_custom P5551NTf2_custom_CLPOL P5551NTf2_custom P5551TCB_custom_CLPOL P5551TCB_custom P2O231TCB_customADCH_CLPOL P2O231TCB_customADCH_CLPOL_CCAAscaled P5551TCB_customADCH_CLPOL P5551TCB_customADCH_CLPOL_CCAAscaled
5.735 1.561669928 1.704265981 2.174496243 1.951057192 1.395387938 1.750332907 1.863152305 2.274832157 1.206899254 1.986316309 1.836678493 2.261572711 2.197543833 2.357749795 1.952080991 2.404393952 1.687381961 1.829111512 2.275250758 2.423021967
5.838333333 1.712603879 1.826100502 2.122980316 1.913065249 1.644057932 1.995387801 2.104342091 2.521398695 1.464530743 2.21415421 1.97803674 2.419544138 2.415132965 2.578766627 2.15341252 2.559405804 1.920581427 2.067306766 2.424076644 2.573791085
5.941666667 1.848934021 1.932364981 2.054738306 1.853171562 1.883099544 2.215943556 2.304387132 2.7106415 1.732458994 2.392315754 2.09194276 2.536399549 2.588705352 2.757103242 2.323754048 2.66155413 2.123406033 2.266420875 2.527117823 2.676788759
6.045 1.964554253 2.020716368 1.974514834 1.78270654 2.082888334 2.394720579 2.442825158 2.819392413 1.989422379 2.521038974 2.180301266 2.594277645 2.696146003 2.86310934 2.465174411 2.70927691 2.285921895 2.418046315 2.582348495 2.727727284
6.148333333 2.063515228 2.090847732 1.885627396 1.705398103 2.240435362 2.516960381 2.497292737 2.825414079 2.221055013 2.598572841 2.244888803 2.602981582 2.730638608 2.883693149 2.566379606 2.702568382 2.399555743 2.516639744 2.587344499 2.730795614
6.251666667 2.139361304 2.137957459 1.796697931 1.622659001 2.340127149 2.577741367 2.480889199 2.750171542 2.408348202 2.62075146 2.295740386 2.57151934 2.688452309 2.827311806 2.631039293 2.650544826 2.469029598 2.56233983 2.554909533 2.692142696
6.355 2.190637948 2.167041215 1.704026117 1.545654696 2.381722141 2.584989864 2.403017378 2.613367225 2.535574194 2.603524179 2.330547723 2.509765532 2.591553633 2.7069081 2.661448046 2.573095613 2.489225878 2.56068451 2.498753621 2.624652927
6.458333333 2.220505417 2.173070861 1.6183853 1.473087088 2.376387921 2.543461606 2.285553927 2.438717646 2.600221522 2.550545802 2.349338602 2.429924583 2.454517777 2.539109297 2.655809093 2.476092641 2.468575363 2.527826476 2.41895563 2.536362022
6.561666667 2.228902341 2.159778857 1.536280824 1.406533872 2.332814372 2.467710853 2.149780667 2.251551249 2.601288374 2.474498455 2.337249302 2.334832929 2.291793336 2.355760226 2.612587518 2.367818157 2.418862101 2.467012153 2.326336089 2.427928353
6.665 2.209904014 2.132487226 1.457798748 1.350072183 2.265734572 2.370682233 2.008533309 2.066737192 2.556147217 2.380453335 2.29629723 2.227969708 2.125377539 2.164454675 2.535411596 2.245668067 2.345066392 2.396421865 2.215725759 2.304942987
6.768333333 2.175285499 2.092029921 1.386118784 1.302605308 2.18609267 2.260798721 1.878591932 1.892092429 2.478085067 2.275703438 2.218167199 2.110957786 1.963759684 1.982477685 2.430393441 2.113033204 2.263315437 2.315229672 2.092487515 2.167743544
6.871666667 2.12866304 2.043944147 1.322125817 1.261979991 2.102298479 2.14985693 1.753838538 1.737512899 2.381654239 2.164942413 2.102162841 1.984626107 1.8127006 1.816845869 2.290041303 1.97682681 2.17774419 2.224600717 1.958898623 2.022110109
6.975 2.072128267 1.991366064 1.263450578 1.227752325 2.017103039 2.040092297 1.640219438 1.600729224 2.26848379 2.05135218 1.961290569 1.849950495 1.67445119 1.67008441 2.130986742 1.834536497 2.07928771 2.130947287 1.808400413 1.867213091
7.078333333 2.010356181 1.936192139 1.218890755 1.203762601 1.933437632 1.933810386 1.528584038 1.474885582 2.14225395 1.933983117 1.802530777 1.703355223 1.548924306 1.532765882 1.95816715 1.688946291 1.977087121 2.029772444 1.658355346 1.70774923
7.181666667 1.948127879 1.877456055 1.181020224 1.185498217 1.845800486 1.833706031 1.413501799 1.359248252 2.011123185 1.818136317 1.634830811 1.551932523 1.430241938 1.413695952 1.775685442 1.539531585 1.870222398 1.918547657 1.507851867 1.54984752
7.285 1.880309742 1.815286754 1.153972947 1.176351909 1.761208772 1.740989303 1.29582882 1.245978033 1.876489855 1.704673818 1.470976745 1.400483986 1.316752615 1.300224875 1.595308999 1.396015646 1.760559158 1.807216262 1.36107036 1.394530618
7.388333333 1.81114468 1.748974681 1.137663735 1.17428461 1.676284443 1.64834044 1.180821972 1.136357388 1.742336542 1.592876819 1.318031367 1.256497641 1.208880913 1.193827816 1.423119794 1.258929934 1.647319533 1.691969095 1.220696697 1.250664949
7.491666667 1.740489686 1.678789736 1.130446202 1.172154179 1.586631625 1.561749006 1.071492952 1.030034322 1.609902685 1.484488008 1.178278648 1.118977197 1.10675574 1.090655582 1.262431704 1.131097844 1.53386491 1.572941044 1.092515633 1.11654814
7.595 1.667417278 1.60779822 1.132464294 1.172619714 1.500439277 1.472394015 0.9718683803 0.9295307188 1.489374497 1.380032728 1.057483233 0.9928211016 1.01108636 0.9946840954 1.119829179 1.014080195 1.424879961 1.457701534 0.9765098689 0.9953348795
7.698333333 1.594775809 1.532612059 1.132771168 1.170396083 1.415678884 1.387013656 0.8844056592 0.8388002107 1.376866106 1.283444914 0.9578885394 0.8816630868 0.9239541209 0.9058603591 0.9966532774 0.9105557725 1.322949693 1.346905502 0.8741784078 0.8893497862
7.801666667 1.518706081 1.454711401 1.135051189 1.162844379 1.335045933 1.304007997 0.808853729 0.7576414325 1.277096958 1.196005816 0.8740867669 0.784738659 0.8466133325 0.822215685 0.8926068814 0.8165828553 1.232797385 1.246336445 0.7880778352 0.7985657332
7.905 1.443880078 1.377752051 1.128952257 1.150751817 1.260544932 1.22751315 0.7455838343 0.6880133626 1.190707213 1.116593859 0.8055660151 0.7025018273 0.776635178 0.7478474239 0.8025784003 0.7375982135 1.153582394 1.15647641 0.7147520135 0.720602876
8.008333333 1.369986063 1.296621758 1.116824245 1.130942865 1.194814452 1.155492245 0.6939944586 0.6288793864 1.113015247 1.046610074 0.7530866403 0.6351439402 0.7154051579 0.6829195464 0.7317929992 0.6684680971 1.085965859 1.080502065 0.6542396908 0.6546164546
8.111666667 1.296445989 1.216905373 1.093552829 1.104701907 1.137368886 1.091558202 0.6523927673 0.5756396473 1.050535877 0.9888897898 0.7128833582 0.5799413955 0.6635290496 0.6246046401 0.6732617164 0.6112753894 1.030591107 1.016110118 0.6072011236 0.6008464521
8.215 1.229551751 1.141661216 1.058814355 1.071090566 1.089560275 1.03405085 0.6212177692 0.5344298163 0.9983214416 0.9357725604 0.6857565561 0.5382026596 0.6187839953 0.5760441395 0.6252450053 0.5651055086 0.986440592 0.9644335282 0.5696964673 0.5577410739
8.318333333 1.167361363 1.068520835 1.020549302 1.033637131 1.048420201 0.9838611495 0.6010834887 0.5005134766 0.9581512354 0.8933860079 0.6681564027 0.5087101172 0.5830640538 0.5341128558 0.5860555838 0.5294535204 0.9524913108 0.9230985404 0.5397702137 0.524481305
8.421666667 1.108494607 1.001802257 0.9795128178 0.9935695739 1.016473151 0.9378082856 0.5896407672 0.4751235403 0.9270070841 0.8561494328 0.6601881499 0.4884834342 0.5544858529 0.5007278221 0.5568850915 0.5025197368 0.9268508848 0.8893947966 0.5188453283 0.498939869
8.525 1.054315023 0.940838155 0.9402893434 0.9529364459 0.9914849457 0.8995791173 0.5863653722 0.456644942 0.9040439036 0.8273542045 0.6594726261 0.4779610734 0.5343326287 0.4737763136 0.5349265629 0.4825688912 0.907448746 0.8645493559 0.5047673034 0.4822401902
8.628333333 1.002918957 0.8837186024 0.9015950017 0.9131959641 0.97166287 0.8673331572 0.5911149244 0.4455501078 0.8895297854 0.8021632299 0.6661529261 0.4773483965 0.5216143068 0.4536500334 0.5218129606 0.4695214048 0.8927746218 0.8448204234 0.4975088674 0.4718596227
8.731666667 0.9554283092 0.8317878943 0.8685023082 0.8764600685 0.9566010937 0.8400963574 0.6054090136 0.4398163118 0.8788361485 0.780197129 0.6805901811 0.4813955483 0.5151230976 0.4420151524 0.5175775565 0.4650354491 0.8811938091 0.8300855402 0.497751691 0.4676367274
8.835 0.9124571613 0.7873758096 0.8400482547 0.8431988177 0.9451112299 0.816254913 0.6257912694 0.4406718955 0.8706857176 0.7621780633 0.7004226127 0.4932340892 0.514295635 0.4336004552 0.5210284172 0.4635548289 0.8711243848 0.8160855625 0.5044842199 0.4696658214
8.938333333 0.8709866789 0.7458477792 0.8137703995 0.810663498 0.9381126527 0.7970999167 0.6516593197 0.4470789927 0.8655552692 0.7457159511 0.7258314461 0.5097698556 0.5195897114 0.4325176983 0.5297132619 0.4676226684 0.8609821893 0.8034470352 0.5171228985 0.4749167293
9.041666667 0.830361494 0.7081154431 0.7911066729 0.78231709 0.9304668631 0.7812545267 0.6832954676 0.4595172452 0.8619538733 0.729234095 0.755107704 0.5322184457 0.5293083654 0.4346165161 0.5455982558 0.4745606562 0.8483327018 0.7902235576 0.532797717 0.4859659497
9.145 0.7938069528 0.6747512827 0.7723042226 0.7566102576 0.9242325285 0.769114835 0.7160564029 0.47644285 0.8573315227 0.7142155992 0.7860191221 0.5558527071 0.5422843183 0.4406947915 0.5657508769 0.4850535214 0.8354626679 0.7788502957 0.5528081443 0.4997596628
9.248333333 0.7608564287 0.6457632731 0.7567002714 0.7341308314 0.9170406587 0.7579164895 0.7522295344 0.4975602614 0.8528260552 0.700092176 0.8210045748 0.5822022475 0.5585557678 0.4506446468 0.5883725373 0.4986136238 0.8217160184 0.7655252188 0.5767461547 0.5154135232
9.351666667 0.7304238721 0.6213585295 0.7408653123 0.7154162302 0.9080997052 0.7487465843 0.788556195 0.5204551554 0.8483467035 0.6860184955 0.8539672809 0.6114974508 0.5785855134 0.4627733856 0.6155274309 0.5130286177 0.8084625851 0.7517560168 0.6006591191 0.5331663384
9.455 0.7024293907 0.600427793 0.7258595976 0.6995455028 0.8988738891 0.7414028986 0.8252245374 0.5471945541 0.8442121278 0.6731623076 0.8895557796 0.6397444618 0.6002844598 0.4788450526 0.6424841097 0.5301107655 0.7946638747 0.7396793025 0.6259540622 0.5527571669
9.558333333 0.6783234742 0.585084009 0.7117062971 0.686997451 0.8893279585 0.7349156087 0.8597373549 0.5751971296 0.8403263751 0.661563535 0.9209411757 0.6684892525 0.6246825747 0.4957410971 0.6711948497 0.5468275785 0.7823706446 0.7266646903 0.6517695626 0.5719442516
9.661666667 0.6562502986 0.5737191603 0.7003337858 0.6775597757 0.8791588857 0.7277733812 0.8922955751 0.6056885659 0.8386693106 0.6505638417 0.9514191322 0.6956959391 0.6501367552 0.515463573 0.700652816 0.5645700551 0.7707965828 0.7137530517 0.6769293828 0.5919454001
9.765 0.6377297703 0.5648568287 0.6907529853 0.6722646239 0.8696941429 0.7220558832 0.9232524811 0.6356615103 0.8366996457 0.6416130252 0.9774910591 0.7221087924 0.6750672682 0.5364173929 0.728550088 0.5835579688 0.7602085354 0.7018389114 0.7007863672 0.611238591
9.868333333 0.6195643753 0.5597305153 0.6820041522 0.6705596426 0.858857077 0.7177528871 0.9506939648 0.6670263098 0.8342551279 0.6343014872 0.9993862373 0.7452906772 0.6993952913 0.5570762091 0.7558223249 0.6019599071 0.75077985 0.6899538321 0.7255590652 0.6297928887
9.971666667 0.6054053325 0.5578707311 0.6769546315 0.6710404106 0.847912418 0.7105821879 0.9750272324 0.6981165679 0.832055758 0.6275361419 1.015219314 0.7660812533 0.724772289 0.5795568449 0.7820096788 0.6200169805 0.7446268246 0.6785053956 0.7484604684 0.6484250912
10.075 0.5927625366 0.5583664227 0.6727929744 0.6753609062 0.836140953 0.7047699517 0.9965723264 0.7291144176 0.8305908655 0.6229293377 1.026820146 0.7843803036 0.7488419397 0.6030059097 0.8064185812 0.6392412034 0.7372862742 0.6675308255 0.7685538832 0.6676653607
10.17833333 0.5829202659 0.5613638461 0.6719759404 0.6813237072 0.8257142025 0.6976408661 1.013500228 0.7585542917 0.8314195315 0.6192686164 1.035677453 0.8003996197 0.7721710943 0.6260312333 0.8289456425 0.658349631 0.7319379967 0.6577593974 0.7873874477 0.6842204657
